id,name,neighborhood_overview,transit,house_rules,host_name,host_response_time,host_neighbourhood,city,state,zipcode,country,housetype,room_type,bathrooms,bedrooms,amenities,price
81540,Affordable S. Denver Guest House,"Our neighborhood is eclectic and diverse. We have retirees, college students, families with young children, urban farmers, and even bee-keepers. You can walk to several great restaurants, ride your bike to the river trail, or just hop in your car and head to the mountains!","Light rail is about a mile. From there you can head to downtown and beyond. The bus is about 3 blocks away. A car is preferred for most folks. But the adventurous enjoy the alternative transit, too. Lyft and Uber are always available. In the winter we recommend having a car.","Check in time is after 3pm, please. Our neighborhood is very safe. But please use good judgment and always lock your car and the apartment when you are away. Please,  no smoking (of any kind) indoors. (420 edibles and vaporizer OK) Smoking outside is permitted but please dispose of butts in your own receptacle – not the yard. Remember that the smell is not everyone's favorite so be mindful of open windows in the main house and wind blowing smoke, etc. Thank you!  Pet owners, please be mindful of your pups and kitties. We recommend leaving them in the living room vs bedroom for the day if you're out as if they cry or whine they are less likely to be heard by the neighbor dogs in the living room. You are welcome to let your dog use the front yard. But, please remember to scoop those poops!  Linens are laundered with sterilizing temperature water and changed prior to your arrival. Again, since most stays are less than a week, we don’t typically exchange linens during your stay unless you ",Jess,within a few hours,Windsor,Englewood,CO,80110,United States,Guesthouse,Entire home/apt,1,1,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Pets allowed"",""Free street parking"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private entrance"",""Pack ’n Play/travel crib"",""Room-darkening shades"",""Hot water"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",""Long term stays allowed"",Other}",$75.00 
90307,Comfy King Size Room (Park Hill),Pleasant Neighbourhood,Free street parking!,"Respectful of environment and neighbors.  Please enjoy full use of kitchen & dining room. No food in bedroom. Your dog must NOT chase cat and are not allowed on furniture and if your dog sleeps with you, please make sure paws are clean and you ask for bed cover sheet.",Doreen,within an hour,North Park Hill,Denver,CO,80207,United States,House,Private room,1,1,"{Internet,Wifi,Kitchen,""Free parking on premises"",""Pets allowed"",""Pets live on this property"",Dog(s),Cat(s),""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron}",$90.00 
98008,"Beautiful sun filled queen, close to everything!",Pleasant Neighbourhood,"Close to everything for those that like to walk, but other transportation options available as well.  Plenty on on street parking with a permit that is included.","This is a NO SMOKING home. Share this beautiful home with me ... the dining room, living room, kitchen and peaceful backyard is yours to use.  This is a very social household, so don't be surprised to find friends or neighbors in the back yard to join for a glass of wine.  Please feel free to come and go as you please.  I am very sociable but do not expect that you must be.  Ask as many questions as you like, join for a glass of wine or be as private as you wish. You will have a bath across the hall that is shared with a single room if it is occupied by a guest.  I am not a Bed and Breakfast and although there will surely be tea and coffee on hand, please expect to take care of yourself for all of your meals.  Also, since I am opening up my home and and life to you I would greatly appreciate it if you would make sure that your profile is filled out before you submit a request.",James,within a day,Five Points,Denver,CO,80218,United States,House,Private room,1,1,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Heating,""Family/kid friendly"",""Suitable for events"",Washer,Dryer,Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",$70.00 
98014,Beautiful single steps to Downtown,Pleasant Neighbourhood,Free street parking!,"This is a NO SMOKING home. Share this beautiful home with me ... the dining room, living room, kitchen and peaceful backyard is yours to use.  This is a very social household, so don't be surprised to find friends or neighbors in the back yard to join for a glass of wine.  Please feel free to come and go as you please.  I am very sociable but do not expect that you must be.  Ask as many questions as you like, join for a glass of wine or be as private as you wish. You will have a bath across the hall that is shared with a single room if it is occupied by a guest.  I am not a Bed and Breakfast and although there will surely be tea and coffee on hand, please expect to take care of yourself for all of your meals.  Also, since I am opening up my home and and life to you I would greatly appreciate it if you would make sure that your profile is filled out before you submit a request.",James,within a day,Five Points,Denver,CO,80205,United States,House,Private room,2,1,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Heating,""Family/kid friendly"",""Suitable for events"",Washer,Dryer,Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Coffee maker"",Oven}",$60.00 
142683,Historic Denver City Park Condo,Pleasant Neighbourhood,Free street parking!,"No indoor smoking, outdoor is fine, including 420.  Children are fine.  We do not accept pets.",Nancy,within an hour,City Park,Denver,CO,80206,United States,House,Entire home/apt,1.5,2,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Free street parking"",Heating,""Family/kid friendly"",Washer,Dryer,Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Garden or backyard""}",$125.00 
172196,Luxury Wash Park Home Great for Families & Groups,Walking distance to restaurants and park. Proximity to downtown and all of Denver. Wash park is centrally located.  Less than a mile from cherry creek shopping center.  Less than 2 miles from DU.  Approx 4 miles to downtown.  Under 20 miles to Red Rocks.,The light rail is on the south west side of the park less than 2 miles away. There are also car 2 go vehicles (all Mercedes) around the neighborhood. You just have to sign up beforehand.,"We have a list of things like how to turn on the gas grill,  how to use the Smart TV, AC, etc. We will send once its been booked. We ask that there is no smoking, that it's quiet outside (especially on back patio) after 10pm.   We ask that there is not eating on the couches (all new) or downstairs.  For kids (which we have a lot of families) please keep coloring to the kitchen counter and the downstairs art area.  No pets.   No smoking.",Michael,within a day,Washington Park,Denver,CO,80209,United States,House,Entire home/apt,4,5,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Free street parking"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,Bathtub,""Children’s books and toys"",""Babysitter recommendations"",""Pack ’n Play/travel crib"",""Room-darkening shades"",""Children’s dinnerware"",""Game console"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""Patio or balcony"",""Garden or backyard"",""Cleaning before checkout""}",$411.00 
184529,HIP SUITE IN  WEST  HIGHLANDS DENVER,"""Walkable"" to Tennyson retail and art district, with distinctive shops, variety of ethnic cuisines, coffee houses, trendy bars, as well as  post office, schools, parks, fitness club, doggie park and markets.  Fun, friendly, safe community for all ages.  Community Garden.   See link:  (URL HIDDEN)","Five minutes driving from the hip LoDo area, downtown Denver's business and cultural center.  The home’s location is close to world class medical facilities and provides quick and easy access to the front range and mountain  communities—only one hour to world class skiing, Walkable to shops, restaurants, libraries, parks and recreation centers. Public transportation within 2 blocks; 20 minutes to center of town or 10 minutes by car. Seven to ten dollars by UBER/LYFT to downtown.",No Smoking. No candles.   No firearms.  Pets welcome with owner approval.   Please let us know a little about you. Enjoy!,Lonna,within an hour,West Highland,Denver,CO,80212,United States,Guest suite,Private room,1.5,1,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Paid parking off premises"",""Free street parking"",""Indoor fireplace"",Heating,""Family/kid friendly"",""Suitable for events"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",""Pocket wifi"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you"",""Paid parking on premises""}",$35.00 
192430,TREETOP VIEW ROOM / East Dwntwn 14 -90 days,It's a established older neighborhood with lots of character. And convenient to many urban delights and shopping. Read description above!,"Great public transportation all directions within a few blocks, really!","No smoking of any kind please and I require quite time after 10 p.m. I also prefer that your visit be for Education or Business related mostly outside the home. My internet is not real powerful for advanced tech.  I work part time from home . Light drinking only. Wine or beer is welcome. The bedrooms are close together with the bathroom in between . It's best if you are a person who is light on their feet with the awareness of using the bathroom quietly during the night. If all this appeals to you, I would love to have you stay with me. I am fun , diverse, and enjoy the company! Remember - Hammie , my Norwegian Forest Cat is HPOALLERGIC  and there has not been any allergy issues with him during a stay by guests.  My check-in time is 2pm- 7pm .   I'm flexible if you want to drop off luggage before check-in or due to flight schedule, need to arrive later. As long as it is before 10 p.m.",Kate,within a day,South Park Hill,Denver,CO,80220,United States,Condominium,Private room,1,1,"{TV,""Cable TV"",Internet,Wifi,Kitchen,""Free parking on premises"",""Pets live on this property"",Cat(s),""Buzzer/wireless intercom"",Heating,""Suitable for events"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""Hot water"",""Bed linens"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""No stairs or steps to enter"",""Extra space around bed"",""Accessible-height bed"",""Host greets you""}",$32.00 
217996,Highland Snug,"The Lower Highland (LoHi) section of the Highland neighborhood lies just west of downtown Denver, next to Coors Field, Pepsi Center, Confluence park and the newly renovated Union Station transportation hub.  Many exciting and innovative restaurants are located in Highland, including Root Down, Lola, Linger, Old Major and Littleman Ice Cream.","New! Plane to Train to Snug.  There is a new light rail train from the airport to Union Station.  It takes about 37 minutes and cost $9.  We will pick you up at the train station making your arrival to Denver and the Snug easy and worry-free.  We have a local Enterprise car rental office close by the Snug in case you decide you need to rent a car.  But, with bikes, Car2Go, ZipCar and Uber, there are many inter-city transportation alternatives to renting a car.",No Smoking!,William,Within a day,Highland,Denver,CO,80211,United States,Condominium,Private room,1.5,1,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Free parking on premises"",Elevator,Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials}",$66.00 
236207,Denver Penthouse 5*Location DIA 33 Minutes $10.50,"It is central to practically everything! Short walk or shuttle/Light Rail/Uber/Lyft ride to most major attractions, Coors Field, Confluence Park, Pepsi Center, Denver Center for the Performing Arts, Elitch Gardens, Paramount Theater, Red Rocks Shuttle, Light Rail,  Bronco Stadium at Mile High,  Whole Foods, LOHI District, RiNo District, State Capital, Childrens Museum, Denver Aquarium, Larimer Square..the list goes on!   Whether its a Park, Dining, Entertainment, Recreation, or Transportation - Its literally all right here.","There is a free shuttle to take you up and down the 16th mall for dining, shopping, entertainment as well as the convention center if you are hear for business. There is also a bike share and car share station just downstairs.","Please No Pets and NO smoking of ANY substance  See the Pot info below.. Because of the large number of visitors coming to partake in the new marijuana legalization please note my loft and all its common areas are NON SMOKING - ALL SUBSTANCES    Here are some FAQs regarding the new ""POT"" Laws   Where am I allowed to consume retail marijuana?  Answer - Retail marijuana is intended for private, personal use. Such use is only legal in certain locations not open or accessible to the public. Marijuana may not be consumed openly or publicly. Can I consume marijuana in public? Answer - No, it is illegal to consume marijuana in public.  This includes but is not limited to areas accessible to the public such as transportation facilities, schools, amusement/sporting/music venues, parks, playgrounds, sidewalks and roads and outdoor and rooftop cafes. It is also illegal to smoke at indoor-but-public locations like bars, restaurants and common areas in buildings.",Dave,within a day,LoDo,Denver,CO,80202,United States,Loft,Entire home/apt,1.5,2,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Paid parking off premises"",Elevator,""Free street parking"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Children’s books and toys"",""Pack ’n Play/travel crib"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""Patio or balcony"",""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you"",""Paid parking on premises""}",$235.00 
283162,2000 SF-Lodo Club Style Condo,Pleasant Neighbourhood,Free street parking!,"4 adults 2 children Maximum  Building Has Doorman, Fitness Center, Pool, Spa, Sauna, Steam, Tennis basketball court, BBQ pavilion One assigned and reserved Garage Space  No Smoking , No Pets .",Lee,Within a day,LoDo,Denver,CO,80202,United States,Apartment,Entire home/apt,2.5,2,"{""Cable TV"",Wifi,""Air conditioning"",""Wheelchair accessible"",Pool,Kitchen,""Free parking on premises"",Doorman,Gym,Elevator,""Hot tub"",Heating,""Family/kid friendly"",Washer,Dryer}","$3,800.00 "
